mlb: 254972 small taker BUY fills, 3809 markets (2s)
  ('5-30m', '15-60m')            ROI   -1.8%  z= -1.7  n= 3883   | older  +0.6% (n=1797)  recent  -3.8% (n=2086)
  ('5-30m', '3-6h')              ROI   -1.7%  z= -2.1  n= 4118   | older  -0.5% (n=2064)  recent  -2.9% (n=2054)
  ('5-30m', '60-180m')           ROI   -1.4%  z= -1.9  n= 4782   | older  -0.3% (n=2352)  recent  -2.5% (n=2430)
  ('<1m', '0-15m')               ROI   -1.0%  z= -1.1  n= 3790   | older  -0.9% (n=1852)  recent  -1.1% (n=1938)
  ('<1m', '15-60m')              ROI   +0.6%  z= +0.7  n= 3750   | older  +0.2% (n=1910)  recent  +1.0% (n=1840)
  ('<1m', '3-6h')                ROI   -2.6%  z= -2.5  n= 3276   | older  -2.5% (n=1657)  recent  -2.7% (n=1619)
  ('<1m', '60-180m')             ROI   -1.4%  z= -1.6  n= 3974   | older  -1.1% (n=1900)  recent  -1.7% (n=2074)
  ('>30m', '0-15m')              ROI   -1.6%  z= -0.3  n=  411   | older  -0.2% (n=148)  recent  -2.4% (n=263)
  ('>30m', '15-60m')             ROI   -0.8%  z= -0.3  n= 1197   | older  +0.3% (n=472)  recent  -1.6% (n=725)
  ('>30m', '3-6h')               ROI   -2.0%  z= -1.2  n= 2491   | older  -0.6% (n=1095)  recent  -3.1% (n=1396)
  ('>30m', '60-180m')            ROI   -1.3%  z= -0.8  n= 2590   | older  -0.1% (n=1090)  recent  -2.2% (n=1500)

== spread / depth at the fill minute (polybook top-of-book, September coverage only)
  fills with a book snapshot: 1464
  ('depth@ask', '$10k+')               ROI   +0.0%  z= +0.0  n=   87
  ('depth@ask', '$2k-10k')             ROI  +27.5%  z= +2.5  n=   44
  ('depth@ask', '$500-2k')             ROI  -17.2%  z= -0.8  n=   28
  ('depth@ask', '<$500')               ROI  +12.5%  z= +0.8  n=   43
  ('spread', '1c')                     ROI   -2.5%  z= -0.6  n=  109
  ('spread×time', '1c', '0-15m')       ROI   +7.2%  z= +0.9  n=   79
  ('spread×time', '1c', '15-60m')      ROI   -5.5%  z= -0.9  n=   78
  ('spread×time', '1c', '3-6h')        ROI   -3.8%  z= -0.5  n=   55
  ('spread×time', '1c', '60-180m')     ROI   +4.6%  z= +1.0  n=   80

== OUR PICKS vs the cell they sit in (entry = first small taker-BUY fill of the pick's token within 60 min after the pick)
  side-mapping check: {'A=token0': 330, 'A=token1': 0}
  picks matched to an executable fill: 2873, unmatched/unknown market: 717
  live          ('40-50c', '60-180m')      ROI  +10.0%  z= +0.7  n=  68
  live          ('50-60c', '60-180m')      ROI  +34.0%  z= +2.7  n=  48
  live          ('ALL',)                   ROI  +19.2%  z= +2.1  n= 122   | cell-baseline avg -1.9% -> selection adds +21.1 pts
  live          ('moneyline',)             ROI  +27.0%  z= +1.8  n=  45
  live          ('total',)                 ROI  +14.6%  z= +1.2  n=  77
  shadow clean  ('40-50c', '15-60m')       ROI  -48.3%  z= -1.8  n=  12
  shadow clean  ('40-50c', '3-6h')         ROI  +49.7%  z= +2.6  n=  30
  shadow clean  ('40-50c', '60-180m')      ROI  +68.3%  z= +2.0  n=  10
  shadow clean  ('50-60c', '0-15m')        ROI   -8.8%  z= -0.3  n=  10
  shadow clean  ('50-60c', '3-6h')         ROI   -4.2%  z= -0.2  n=  31
  shadow clean  ('50-60c', '60-180m')      ROI  -67.2%  z= -3.2  n=  11
  shadow clean  ('ALL',)                   ROI   +4.0%  z= +0.4  n= 146   | cell-baseline avg -0.6% -> selection adds +4.6 pts
  shadow clean  ('moneyline',)             ROI   +4.7%  z= +0.3  n=  47
  shadow clean  ('other',)                 ROI  -18.5%  z= -1.1  n=  42
  shadow clean  ('total',)                 ROI  +20.0%  z= +1.4  n=  57
  shadow dirty  ('20-40c', '0-15m')        ROI  +41.8%  z= +1.2  n=  21
  shadow dirty  ('20-40c', '15-60m')       ROI   +8.6%  z= +0.5  n=  78
  shadow dirty  ('20-40c', '3-6h')         ROI  -35.7%  z= -1.7  n=  29
  shadow dirty  ('20-40c', '60-180m')      ROI  -17.1%  z= -1.0  n=  77
  shadow dirty  ('40-50c', '0-15m')        ROI  +14.7%  z= +1.3  n=  93
  shadow dirty  ('40-50c', '15-60m')       ROI   -2.7%  z= -0.4  n= 321
  shadow dirty  ('40-50c', '3-6h')         ROI  +12.0%  z= +1.4  n= 161
  shadow dirty  ('40-50c', '60-180m')      ROI   +9.7%  z= +1.3  n= 402
  shadow dirty  ('50-60c', '0-15m')        ROI  +17.1%  z= +2.0  n= 110
  shadow dirty  ('50-60c', '15-60m')       ROI   -8.8%  z= -1.7  n= 364
  shadow dirty  ('50-60c', '3-6h')         ROI   -1.4%  z= -0.2  n= 173
  shadow dirty  ('50-60c', '60-180m')      ROI   -2.3%  z= -0.4  n= 477
  shadow dirty  ('60-80c', '0-15m')        ROI   +2.3%  z= +0.2  n=  35
  shadow dirty  ('60-80c', '15-60m')       ROI  +18.4%  z= +2.6  n=  97
  shadow dirty  ('60-80c', '3-6h')         ROI   +7.5%  z= +0.8  n=  59
  shadow dirty  ('60-80c', '60-180m')      ROI   +6.8%  z= +0.7  n= 106
  shadow dirty  ('ALL',)                   ROI   +2.3%  z= +0.7  n=2605   | cell-baseline avg -1.2% -> selection adds +3.5 pts
  shadow dirty  ('moneyline',)             ROI   +1.1%  z= +0.3  n=1257
  shadow dirty  ('other',)                 ROI   +2.5%  z= +0.4  n= 289
  shadow dirty  ('total',)                 ROI   +3.6%  z= +0.8  n=1059

done 14s
